role_title,software_or_tool,software_category,hot_technology,in_demand
Software Developers,Advanced business application programming ABAP,Object or component oriented development software,N,N
Software Developers,Airtable,Data base user interface and query software,N,N
Software Developers,Algorithmic language ALGOL,Development environment software,N,N
Software Developers,Allaire ColdFusion,Web platform development software,N,N
Software Developers,Amazon Kinesis,Data base management system software,N,N
Software Developers,Amazon Simple Storage Service S3,Storage networking software,N,N
Software Developers,American National Standards Institute ANSI C,Development environment software,N,N
Software Developers,Apache Ant,Development environment software,N,N
Software Developers,Apache Avro,Information retrieval or search software,N,N
Software Developers,Apache Flume,Data base management system software,N,N
Software Developers,Apache Groovy,Object or component oriented development software,N,N
Software Developers,Apache HBase,Data base management system software,N,N
Software Developers,Apache HTTP Server,Portal server software,N,N
Software Developers,Apache Oozie,Data base management system software,N,N
Software Developers,Apache Pig,Data base management system software,N,N
Software Developers,Apache Solr,Data base management system software,N,N
Software Developers,Apache Struts,Web platform development software,N,N
Software Developers,Atlassian Bamboo,Enterprise application integration software,N,N
Software Developers,Automated installation software,Configuration management software,N,N
Software Developers,B-Method,Development environment software,N,N
Software Developers,Backbone.js,Web platform development software,N,N
Software Developers,Backup and archival software,Backup or archival software,N,N
Software Developers,Beginner's all-purpose symbolic instruction code BASIC,Development environment software,N,N
Software Developers,Bigloo Scheme,Development environment software,N,N
Software Developers,Blackbaud The Raiser's Edge,Customer relationship management CRM software,N,N
Software Developers,Blackboard software,Data base user interface and query software,N,N
Software Developers,Blink,Instant messaging software,N,N
Software Developers,Call-processing language CPL,Development environment software,N,N
Software Developers,Canu,Development environment software,N,N
Software Developers,Cisco IOS,Operating system software,N,N
Software Developers,Citrix cloud computing software,Access software,N,N
Software Developers,Collaborative Application Markup Language CAML,Object or component oriented development software,N,N
Software Developers,Common Lisp Object System CLOS,Object or component oriented development software,N,N
Software Developers,Common business oriented language COBOL,Development environment software,N,N
Software Developers,Component object model COM software,Object or component oriented development software,N,N
Software Developers,Component-based Scalable Logical Architecture CSLA,Object or component oriented development software,N,N
Software Developers,Computer Associates integrated data management system CA-IDMS,Data base management system software,N,N
Software Developers,Computer On-line Real-time Applications Language CORAL 66,Development environment software,N,N
Software Developers,Customer information control system CICS,Transaction server software,N,N
Software Developers,Data analysis software,Analytical or scientific software,N,N
Software Developers,Data definition language DDL,Data base management system software,N,N
Software Developers,Data manipulation language DML,Data base management system software,N,N
Software Developers,DataVision,Data base reporting software,N,N
Software Developers,Defect tracking software,Program testing software,N,N
Software Developers,Delphi Technology,Financial analysis software,N,N
Software Developers,Deployment software,Configuration management software,N,N
Software Developers,Disk operating system DOS,Operating system software,N,N
Software Developers,Distributed component object model DCOM software,Object or component oriented development software,N,N
Software Developers,Distributed database management software,Data base management system software,N,N
Software Developers,Document Object Model DOM Scripting,Object or component oriented development software,N,N
Software Developers,Document management system software,Document management software,N,N
Software Developers,Dropbox,Cloud-based data access and sharing software,N,N
Software Developers,Drupal,Web platform development software,N,N
Software Developers,Dynamic analysis software,Program testing software,N,N
Software Developers,Dynamic hypertext markup language DHTML,Web platform development software,N,N
Software Developers,Dynamic modeling software,Analytical or scientific software,N,N
Software Developers,E++ pattern language,Object or component oriented development software,N,N
Software Developers,Eclipse Jersey,Web platform development software,N,N
Software Developers,Eiffel,Object or component oriented development software,N,N
Software Developers,Embarcadero Delphi,Object or component oriented development software,N,N
Software Developers,Embarcadero JBuilder,Development environment software,N,N
Software Developers,Embedded systems development software,Development environment software,N,N
Software Developers,Emerald Software Group Emerald Green Office,Content workflow software,N,N
Software Developers,Encryption software,Transaction security and virus protection software,N,N
Software Developers,Enterprise JavaBeans,Web platform development software,N,N
Software Developers,Enterprise application integration EAI software,Enterprise application integration software,N,N
Software Developers,Event-driven State-machines Programming,Development environment software,N,N
Software Developers,Evernote,Word processing software,N,N
Software Developers,Ext JS,Web platform development software,N,N
Software Developers,Extensible hypertext markup language XHTML,Web platform development software,N,N
Software Developers,Extensible stylesheet language transformations XSLT,Web platform development software,N,N
Software Developers,FaceTime,Video conferencing software,N,N
Software Developers,Fault testing software,Program testing software,N,N
Software Developers,File server software,Filesystem software,N,N
Software Developers,FileMaker Pro,Data base user interface and query software,N,N
Software Developers,Firewall software,Network security and virtual private network VPN equipment software,N,N
Software Developers,Flipgrid,Video creation and editing software,N,N
Software Developers,Formula translation/translator FORTRAN,Development environment software,N,N
Software Developers,Forth,Development environment software,N,N
Software Developers,Functional testing software,Program testing software,N,N
Software Developers,GNU Image Manipulation Program GIMP,Graphics or photo imaging software,N,N
Software Developers,Gambit Scheme,Development environment software,N,N
Software Developers,Google Cloud software,Cloud-based management software,N,N
Software Developers,Google Drive,Cloud-based data access and sharing software,N,N
Software Developers,Google Gmail,Electronic mail software,N,N
Software Developers,Google Meet,Video conferencing software,N,N
Software Developers,Google Sites,Web page creation and editing software,N,N
Software Developers,Google Slides,Presentation software,N,N
Software Developers,Gradle,Object or component oriented development software,N,N
Software Developers,Graphical user interface GUI builder software,Graphical user interface development software,N,N
Software Developers,Graphical user interface GUI design software,Graphical user interface development software,N,N
Software Developers,GroupMe,Instant messaging software,N,N
Software Developers,Haskell,Development environment software,N,N
Software Developers,Hewlett Packard HP-UX,Operating system software,N,N
Software Developers,Hewlett Packard LoadRunner,Program testing software,N,N
Software Developers,IBM AIX,Operating system software,N,N
Software Developers,IBM Cognos Impromptu,Business intelligence and data analysis software,N,N
Software Developers,IBM Domino,Communications server software,N,N
Software Developers,IBM InfoSphere DataStage,Enterprise application integration software,N,N
Software Developers,IBM Middleware,Transaction server software,N,N
Software Developers,IBM Notes,Electronic mail software,N,N
Software Developers,IBM Power Systems software,Enterprise system management software,N,N
Software Developers,IBM Rational ClearCase,Configuration management software,N,N
Software Developers,IBM Rational ClearQuest,Development environment software,N,N
Software Developers,IBM Rational PurifyPlus,Program testing software,N,N
Software Developers,IBM Rational RequisitePro,Requirements analysis and system architecture software,N,N
Software Developers,IBM Rational Rose XDE,Development environment software,N,N
Software Developers,IBM WebSphere,Cloud-based management software,N,N
Software Developers,IBM z/OS operating systems,Network operation system software,N,N
Software Developers,ICON programming language,Development environment software,N,N
Software Developers,IEA Software Emerald,Data base user interface and query software,N,N
Software Developers,Integrated development environment IDE software,Development environment software,N,N
Software Developers,Integration testing software,Program testing software,N,N
Software Developers,Interface definition language IDL,Development environment software,N,N
Software Developers,Interoperability testing software,Program testing software,N,N
Software Developers,Interstate connection ICON,Development environment software,N,N
Software Developers,J,Development environment software,N,N
Software Developers,JFrog Artifactory,Development environment software,N,N
Software Developers,JamBoard,Graphics or photo imaging software,N,N
Software Developers,JavaScript framework software,Web platform development software,N,N
Software Developers,Job control language JCL,Operating system software,N,N
Software Developers,Jupyter Notebook,Object or component oriented development software,N,N
Software Developers,KornShell,Operating system software,N,N
Software Developers,Kotlin,Development environment software,N,N
Software Developers,LAMP Stack,Web platform development software,N,N
Software Developers,LexisNexis,Information retrieval or search software,N,N
Software Developers,LibreOffice,Office suite software,N,N
Software Developers,LinkedIn,Web page creation and editing software,N,N
Software Developers,List processing language LISP,Development environment software,N,N
Software Developers,Load testing software,Program testing software,N,N
Software Developers,LogMeIn GoToMeeting,Video conferencing software,N,N
Software Developers,LogMeIn GoToWebinar,Network conferencing software,N,N
Software Developers,Loom,Video creation and editing software,N,N
Software Developers,MUMPS M,Development environment software,N,N
Software Developers,Magellan Firmware,Operating system software,N,N
Software Developers,Management information systems MIS,Enterprise resource planning ERP software,N,N
Software Developers,MathWorks Simulink,Analytical or scientific software,N,N
Software Developers,McAfee,Transaction security and virus protection software,N,N
Software Developers,MicroStrategy,Business intelligence and data analysis software,N,N
Software Developers,Microservices Architecture,Application server software,N,N
Software Developers,Microsoft ASP.NET Core MVC,Web platform development software,N,N
Software Developers,Microsoft ActiveX,Object or component oriented development software,N,N
Software Developers,Microsoft Azure DevOps Services,Development environment software,N,N
Software Developers,Microsoft DirectX,Device drivers or system software,N,N
Software Developers,Microsoft Dynamics,Enterprise resource planning ERP software,N,N
Software Developers,Microsoft Dynamics GP,Enterprise resource planning ERP software,N,N
Software Developers,Microsoft ESP SDK,Development environment software,N,N
Software Developers,Microsoft Exchange,Electronic mail software,N,N
Software Developers,Microsoft Internet Information Services (IIS),Transaction server software,N,N
Software Developers,Microsoft OneNote,Word processing software,N,N
Software Developers,Microsoft Publisher,Desktop publishing software,N,N
Software Developers,Microsoft Visual Basic Scripting Edition VBScript,Development environment software,N,N
Software Developers,Microsoft Visual Basic.NET,Object or component oriented development software,N,N
Software Developers,Microsoft Visual C# .NET,Object or component oriented development software,N,N
Software Developers,Microsoft transact-structural query language T-SQL,Data base management system software,N,N
Software Developers,Migration software,Platform interconnectivity software,N,N
Software Developers,Migration testing software,Program testing software,N,N
Software Developers,Minitab,Analytical or scientific software,N,N
Software Developers,Modula,Object or component oriented development software,N,N
Software Developers,Moodle,Computer based training software,N,N
Software Developers,MuleSoft software,Enterprise application integration software,N,N
Software Developers,Mutation testing software,Program testing software,N,N
Software Developers,Nagios,Network monitoring software,N,N
Software Developers,National Instruments LabVIEW,Development environment software,N,N
Software Developers,NetSuite ERP,Enterprise resource planning ERP software,N,N
Software Developers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N
Software Developers,Oberon,Object or component oriented development software,N,N
Software Developers,Object Management Group Object Request Broker,Transaction server software,N,N
Software Developers,Objective C,Object or component oriented development software,N,N
Software Developers,Objective Caml,Object or component oriented development software,N,N
Software Developers,Open Graphics Library OpenGL,Graphics or photo imaging software,N,N
Software Developers,OpenAI ChatGPT,Development environment software,N,N
Software Developers,Operating system shells,Operating system software,N,N
Software Developers,Oracle Application Server,Application server software,N,N
Software Developers,Oracle Business Intelligence Discoverer,Data base reporting software,N,N
Software Developers,Oracle Business Intelligence Enterprise Edition,Business intelligence and data analysis software,N,N
Software Developers,Oracle Business Intelligence Suite,Data base reporting software,N,N
Software Developers,Oracle E-Business Suite Financials,Financial analysis software,N,N
Software Developers,Oracle Eloqua,Customer relationship management CRM software,N,N
Software Developers,Oracle Fusion Applications,Enterprise resource planning ERP software,N,N
Software Developers,Oracle Fusion Middleware,Enterprise application integration software,N,N
Software Developers,Oracle Hyperion,Enterprise resource planning ERP software,N,N
Software Developers,Oracle JD Edwards EnterpriseOne,Enterprise resource planning ERP software,N,N
Software Developers,Oracle JDBC,Data base user interface and query software,N,N
Software Developers,Oracle Java Message Service JMS,Object or component oriented development software,N,N
Software Developers,Oracle JavaServer Pages JSP,Web platform development software,N,N
Software Developers,Oracle PeopleSoft Financials,Enterprise resource planning ERP software,N,N
Software Developers,Oracle Reports,Data base reporting software,N,N
Software Developers,Oracle Solaris,Operating system software,N,N
Software Developers,Oracle WebLogic Server,Application server software,N,N
Software Developers,Pascal,Development environment software,N,N
Software Developers,Patch management software,Configuration management software,N,N
Software Developers,Perforce Helix software,Configuration management software,N,N
Software Developers,Platform as a service PaaS,Cloud-based data access and sharing software,N,N
Software Developers,Programming language one PL/I,Development environment software,N,N
Software Developers,Prolog,Development environment software,N,N
Software Developers,PuTTY,Access software,N,N
Software Developers,QNX,Operating system software,N,N
Software Developers,Qlik Tech QlikView,Business intelligence and data analysis software,N,N
Software Developers,Quest Erwin Data Modeler,Metadata management software,N,N
Software Developers,RabbitMQ,Object or component oriented development software,N,N
Software Developers,React Native,Web platform development software,N,N
Software Developers,React Redux,Web platform development software,N,N
Software Developers,Real time operating system RTOS software,Operating system software,N,N
Software Developers,Recovery testing software,Program testing software,N,N
Software Developers,Red Hat Ansible Engine,Configuration management software,N,N
Software Developers,Red Hat WildFly,Application server software,N,N
Software Developers,Regression testing software,Program testing software,N,N
Software Developers,Relational database management software,Data base management system software,N,N
Software Developers,Requirements management software,Requirements analysis and system architecture software,N,N
Software Developers,Restructured extended executor REXX,Development environment software,N,N
Software Developers,Ruby on Rails,Web platform development software,N,N
Software Developers,SAP Adaptive Server Enterprise,Data base management system software,N,N
Software Developers,SAP Business Intelligence,Data base reporting software,N,N
Software Developers,SAP Business Objects,Enterprise resource planning ERP software,N,N
Software Developers,SAP Crystal Reports,Data base reporting software,N,N
Software Developers,SAP NetWeaver,Enterprise application integration software,N,N
Software Developers,SAP PowerBuilder,Object or component oriented development software,N,N
Software Developers,Salesforce Visualforce,Graphical user interface development software,N,N
Software Developers,Scheme,Development environment software,N,N
Software Developers,Screencastify,Video creation and editing software,N,N
Software Developers,Security testing software,Program testing software,N,N
Software Developers,Simple API for XML SAX,Object or component oriented development software,N,N
Software Developers,Simulation program with integrated circuit emphasis SPICE,Analytical or scientific software,N,N
Software Developers,Single sign-on SSO,Authentication server software,N,N
Software Developers,Skype,Desktop communications software,N,N
Software Developers,Smalltalk,Object or component oriented development software,N,N
Software Developers,SmugMug Flickr,Graphics or photo imaging software,N,N
Software Developers,Social media sites,Web page creation and editing software,N,N
Software Developers,Software development tools,Development environment software,N,N
Software Developers,Software distribution management software,Administration software,N,N
Software Developers,Software libraries,Development environment software,N,N
Software Developers,SonarQube,Program testing software,N,N
Software Developers,Source code editor software,Program testing software,N,N
Software Developers,StataCorp Stata,Analytical or scientific software,N,N
Software Developers,Static analysis software,Program testing software,N,N
Software Developers,Storage area network SAN software,Storage networking software,N,N
Software Developers,Stress testing software,Program testing software,N,N
Software Developers,String oriented symbolic language SNOBOL,Development environment software,N,N
Software Developers,Structured Query Report SQR,Data base management system software,N,N
Software Developers,Sun Microsystems Java Persistence API,Object or component oriented development software,N,N
Software Developers,Symantec Visual Cafe,Development environment software,N,N
Software Developers,System testing software,Program testing software,N,N
Software Developers,Talend Big Data Integration,Data base management system software,N,N
Software Developers,Talend Data Fabric,Metadata management software,N,N
Software Developers,Test design software,Program testing software,N,N
Software Developers,Test implementation software,Program testing software,N,N
Software Developers,Ubuntu,Operating system software,N,N
Software Developers,Unified modeling language UML,Requirements analysis and system architecture software,N,N
Software Developers,Unit testing software,Program testing software,N,N
Software Developers,Usability testing software,Program testing software,N,N
Software Developers,VMware,Clustering software,N,N
Software Developers,Verilog,Development environment software,N,N
Software Developers,Veritas NetBackup,Backup or archival software,N,N
Software Developers,Version control software,File versioning software,N,N
Software Developers,Virtual private networking VPN software,Network security and virtual private network VPN equipment software,N,N
Software Developers,Visible Razor,Configuration management software,N,N
Software Developers,Voice over internet protocol VoIP system software,Internet protocol IP multimedia subsystem software,N,N
Software Developers,Web application software,Development environment software,N,N
Software Developers,Web server software,Transaction server software,N,N
Software Developers,Web service definition language WDSL,Development environment software,N,N
Software Developers,Win CE,Operating system software,N,N
Software Developers,Wind River VxWorks,Operating system software,N,N
Software Developers,Wireshark,Network monitoring software,N,N
Software Developers,XML Path Language XPATH,Development environment software,N,N
Software Developers,Xcode,Development environment software,N,N
Software Developers,YouTube,Video creation and editing software,N,N
